key,household_id,enumerator,barangay,interview_date,form_version,duration_minutes,consent,hh_size,children_under_15,ppi_q1_floor_solid,ppi_q2_has_toilet,ppi_q3_has_electricity,ppi_q4_has_tv,ppi_q5_has_fridge,ppi_q6_head_completed_primary,ppi_q7_roof_durable,ppi_q8_has_mobile_phone,ppi_q9_owns_livestock,ppi_q10_has_savings,ppi_score,poverty_likelihood,enum_id,enum_team_id,phone_number,asset_main,asset_other,field_comments_id,textaudit_id,starttime,endtime
uuid:000000000011,HH011,Ben,North,2026-06-02,2,50,1,5,3,0,0,0,0,1,0,1,0,0,0,20,82.6,2,1,09123456789,1,,Comments-000000000011,TA_000000000011,2026-06-02T08:55:00Z,2026-06-02T09:45:00Z
uuid:000000000012,HH012,Carlo,West,2026-06-08,2,30,0,3,0,0,1,NA,0,0,0,0,0,1,1,30,81.1,3,2,09100000012,1,,Comments-000000000012,TA_000000000012,2026-06-08T09:00:00Z,2026-06-08T09:30:00Z
uuid:000000000013,HH013,Dina,South,2026-06-03,2,17,0,4,1,0,1,1,0,1,0,1,1,0,1,60,45.5,4,2,09100000013,1,,Comments-000000000013,TA_000000000013,2026-06-03T09:05:00Z,2026-06-03T09:22:00Z
uuid:000000000014,HH014,Dina,East,2026-06-05,1,38,1,3,0,0,0,1,1,1,0,0,0,1,1,50,40,4,2,09100000014,99,solar lamp,Comments-000000000014,TA_000000000014,2026-06-05T09:10:00Z,2026-06-05T09:48:00Z
uuid:000000000015,HH015,Ana,West,2026-06-06,2,24,1,4,4,0,0,0,0,0,1,0,1,0,0,20,77.4,1,1,09100000015,1,,Comments-000000000015,TA_000000000015,2026-06-06T09:15:00Z,2026-06-06T09:39:00Z
uuid:000000000016,HH016,Ben,West,2026-06-02,2,20,0,1,1,0,0,0,0,1,0,0,1,0,1,30,73,2,1,09100000016,1,,Comments-000000000016,TA_000000000016,2026-06-02T09:20:00Z,2026-06-02T09:40:00Z
uuid:000000000017,HH017,Ana,East,2026-06-02,2,24,1,7,2,1,0,0,1,0,1,0,0,0,0,30,71.2,1,1,09100000017,1,,Comments-000000000017,TA_000000000017,2026-06-02T09:25:00Z,2026-06-02T09:49:00Z
uuid:000000000018,HH018,Ana,West,2026-06-10,2,34,1,4,4,1,1,1,0,9,1,1,1,1,1,80,21,1,1,09100000018,1,,Comments-000000000018,TA_000000000018,2026-06-10T09:30:00Z,2026-06-10T10:04:00Z
uuid:000000000019,HH019,Ben,West,2026-06-10,2,14,1,7,5,0,1,1,0,1,0,1,1,1,0,60,42.7,2,1,09100000019,1,,Comments-000000000019,TA_000000000019,2026-06-10T09:35:00Z,2026-06-10T09:49:00Z
uuid:000000000020,HH020,Ben,West,2026-06-03,2,16,1,1,4,1,1,0,1,1,1,1,0,0,1,70,19.1,2,1,09100000000,1,,Comments-000000000020,TA_000000000020,2026-06-03T09:40:00Z,2026-06-03T09:56:00Z
uuid:000000000021,HH021,Ana,South,2026-06-04,2,36,1,7,1,1,1,0,1,0,1,0,1,0,1,60,36.2,1,1,09100000001,99,solar lamp,Comments-000000000021,TA_000000000021,2026-06-04T09:45:00Z,2026-06-04T10:21:00Z
uuid:000000000022,HH022,Carlo,West,2026-06-03,2,19,1,1,4,0,1,1,0,1,1,1,0,0,0,50,60.4,3,2,09100000002,1,,Comments-000000000022,TA_000000000022,2026-06-03T09:50:00Z,2026-06-03T10:09:00Z
uuid:000000000023,HH023,Carlo,East,2026-06-04,1,32,0,2,5,1,1,1,0,0,1,1,0,0,1,60,39.2,3,2,09100000003,1,,Comments-000000000023,TA_000000000023,2026-06-04T09:55:00Z,2026-06-04T10:27:00Z
uuid:000000000024,HH024,Carlo,North,2026-06-04,1,19,1,8,2,0,1,0,1,1,0,1,1,0,0,50,53.3,3,2,09100000004,1,,Comments-000000000024,TA_000000000024,2026-06-04T10:00:00Z,2026-06-04T10:19:00Z
uuid:000000000025,HH025,Ana,North,2026-06-03,2,30,1,4,6,0,1,0,1,1,0,0,0,0,0,30,71,1,1,09100000005,1,,Comments-000000000025,TA_000000000025,2026-06-03T10:05:00Z,2026-06-03T10:35:00Z
uuid:000000000026,HH026,Ana,West,2026-06-09,2,21,0,7,3,0,0,1,1,1,0,1,1,1,1,70,28.1,1,1,09100000006,1,,Comments-000000000026,TA_000000000026,2026-06-09T10:10:00Z,2026-06-09T10:31:00Z
uuid:000000000027,HH027,Dina,West,2026-06-01,2,12,1,9,3,0,0,0,0,0,0,1,1,0,0,20,80.7,4,2,09100000007,1,,Comments-000000000027,TA_000000000027,2026-06-01T10:15:00Z,2026-06-01T10:27:00Z
uuid:000000000028,HH028,Ben,North,2026-06-05,2,24,1,5,3,0,0,1,0,1,0,1,0,1,1,50,54.5,2,1,09100000008,99,solar lamp,Comments-000000000028,TA_000000000028,2026-06-05T10:20:00Z,2026-06-05T10:44:00Z
uuid:000000000029,HH029,Ana,North,2026-06-11,2,30,1,5,2,0,0,0,0,1,1,0,0,1,0,30,72.2,1,1,09100000009,1,,Comments-000000000029,TA_000000000029,2026-06-11T10:25:00Z,2026-06-11T10:55:00Z
uuid:000000000030,HH030,Dina,East,2026-06-04,2,43,1,9,0,1,1,1,0,1,1,1,0,1,1,80,20.1,4,2,09100000010,1,,Comments-000000000030,TA_000000000030,2026-06-04T10:30:00Z,2026-06-04T11:13:00Z
uuid:000000000031,HH031,Dina,South,2026-06-01,1,3,0,6,1,0,0,0,0,0,0,0,0,1,1,20,79.9,4,2,09100000011,1,,Comments-000000000031,TA_000000000031,2026-06-01T10:35:00Z,2026-06-01T10:50:00Z
uuid:000000000032,HH032,Ana,South,2026-06-04,2,11,1,7,1,1,0,0,1,0,0,0,0,1,0,30,65.2,1,1,09100000012,1,,Comments-000000000032,TA_000000000032,2026-06-04T10:40:00Z,2026-06-04T10:51:00Z
uuid:000000000033,HH033,Ana,North,2026-06-02,2,18,1,9,5,1,1,0,1,0,0,0,0,1,1,50,50.8,1,1,09100000013,1,,Comments-000000000033,TA_000000000033,2026-06-02T10:45:00Z,2026-06-02T11:03:00Z
uuid:000000000034,HH034,Ana,West,2026-06-08,2,24,1,2,0,0,0,0,1,1,0,1,1,1,1,60,42.6,1,1,09100000014,1,,Comments-000000000034,TA_000000000034,2026-06-08T10:50:00Z,2026-06-08T11:14:00Z
uuid:000000000035,HH035,Carlo,East,2026-06-05,1,20,1,9,1,0,1,0,0,1,0,0,1,0,1,40,67,3,2,09100000015,99,solar lamp,Comments-000000000035,TA_000000000035,2026-06-05T10:55:00Z,2026-06-05T11:15:00Z
uuid:000000000036,HH036,Dina,North,2026-06-07,2,33,0,5,1,0,0,0,1,1,0,0,1,1,1,50,53.5,4,2,09100000016,1,,Comments-000000000036,TA_000000000036,2026-06-07T11:00:00Z,2026-06-07T11:33:00Z
uuid:000000000037,HH037,Dina,South,2026-06-07,2,29,1,7,3,1,1,0,1,1,1,1,1,0,0,70,31.8,4,2,09100000017,1,,Comments-000000000037,TA_000000000037,2026-06-07T11:05:00Z,2026-06-07T11:34:00Z
uuid:000000000038,HH038,Dina,North,2026-06-10,2,25,1,1,1,1,1,0,1,0,0,0,1,0,0,40,59.9,4,2,09100000018,1,,Comments-000000000038,TA_000000000038,2026-06-10T11:10:00Z,2026-06-10T11:35:00Z
uuid:000000000039,HH039,Ben,West,2026-06-10,2,23,1,4,3,0,1,1,1,0,0,1,1,0,0,50,46.4,2,1,09100000019,1,,Comments-000000000039,TA_000000000039,2026-06-10T11:15:00Z,2026-06-10T11:38:00Z
uuid:000000000040,HH040,Ben,West,2026-06-10,2,32,0,6,1,1,1,0,0,0,0,0,0,0,0,20,81.6,2,1,09100000000,1,,Comments-000000000040,TA_000000000040,2026-06-10T11:20:00Z,2026-06-10T11:52:00Z
uuid:000000000041,HH041,Dina,West,2026-06-02,2,125,1,5,4,1,0,1,1,1,0,1,1,0,0,60,45.6,4,2,09100000001,1,,Comments-000000000041,TA_000000000041,2026-06-02T11:25:00Z,2026-06-02T11:47:00Z
uuid:000000000042,HH042,Carlo,South,2026-06-05,2,19,0,8,5,0,0,0,1,0,1,0,1,0,1,40,62.4,3,2,09100000002,99,solar lamp,Comments-000000000042,TA_000000000042,2026-06-05T11:30:00Z,2026-06-05T11:49:00Z
uuid:000000000043,HH043,Ana,East,2026-06-09,2,67,1,1,3,0,1,0,1,1,0,0,0,0,0,30,68.9,1,1,09100000003,1,,Comments-000000000043,TA_000000000043,2026-06-09T11:35:00Z,2026-06-09T12:42:00Z
uuid:000000000044,HH044,Carlo,North,2026-06-06,1,17,1,6,0,0,0,1,1,0,1,0,1,0,1,50,52.2,3,2,09100000004,1,,Comments-000000000044,TA_000000000044,2026-06-06T11:40:00Z,2026-06-06T11:57:00Z
uuid:000000000045,HH045,Ben,South,2026-06-06,2,24,1,4,0,1,0,0,0,0,0,0,0,0,1,20,82.4,2,1,09100000005,1,,Comments-000000000045,TA_000000000045,2026-06-06T11:45:00Z,2026-06-06T12:09:00Z
uuid:000000000046,HH046,Carlo,South,2026-06-10,2,15,1,8,4,1,0,0,1,1,0,0,1,1,0,50,55.2,3,2,09100000006,1,,Comments-000000000046,TA_000000000046,2026-06-10T11:50:00Z,2026-06-10T12:05:00Z
uuid:000000000047,HH047,Ana,South,2026-06-07,2,32,0,4,0,1,0,0,0,1,1,0,0,1,0,40,58.6,1,1,09100000007,1,,Comments-000000000047,TA_000000000047,2026-06-07T11:55:00Z,2026-06-07T12:27:00Z
uuid:000000000048,HH048,Dina,South,2026-06-03,2,25,0,1,4,0,0,0,0,0,0,1,0,0,0,10,90.2,4,2,09100000008,1,,Comments-000000000048,TA_000000000048,2026-06-03T12:00:00Z,2026-06-03T12:25:00Z
uuid:000000000049,HH049,Ben,West,2026-06-01,2,30,0,6,4,0,1,0,0,0,0,0,0,0,1,20,80.1,2,1,09100000009,99,solar lamp,Comments-000000000049,TA_000000000049,2026-06-01T12:05:00Z,2026-06-01T12:35:00Z
uuid:000000000050,HH050,Carlo,West,2026-06-01,2,22,NA,9,3,0,0,1,1,0,0,1,0,1,0,40,55.8,3,2,09100000010,1,,Comments-000000000050,TA_000000000050,2026-06-01T12:10:00Z,2026-06-01T12:32:00Z
uuid:000000000051,HH051,Ben,South,2026-06-09,2,17,1,1,3,1,0,1,0,1,0,1,1,1,1,70,34.3,2,1,09100000011,1,,Comments-000000000051,TA_000000000051,2026-06-09T12:15:00Z,2026-06-09T12:32:00Z
uuid:000000000052,HH052,Carlo,South,2026-06-09,2,32,1,6,3,0,1,0,0,1,1,1,1,1,0,60,41.9,3,2,09100000012,1,,Comments-000000000052,TA_000000000052,2026-06-09T12:20:00Z,2026-06-09T12:52:00Z
uuid:000000000053,HH053,Carlo,West,2026-06-04,2,17,1,8,3,1,0,0,0,0,0,1,0,0,1,30,67.3,3,2,09100000013,1,,Comments-000000000053,TA_000000000053,2026-06-04T12:25:00Z,2026-06-04T12:42:00Z
uuid:000000000054,HH054,Dina,South,2026-06-02,2,20,1,1,5,0,1,0,1,0,0,0,1,0,0,30,68.6,4,2,09100000014,1,,Comments-000000000054,TA_000000000054,2026-06-02T12:30:00Z,2026-06-02T12:50:00Z
uuid:000000000055,HH055,Dina,South,2026-06-10,2,26,1,3,2,1,0,0,1,0,1,1,1,0,1,60,39.2,4,2,09100000015,1,,Comments-000000000055,TA_000000000055,2026-06-10T12:35:00Z,2026-06-10T13:01:00Z
uuid:000000000056,HH056,Ben,West,2026-06-10,1,27,1,1,2,0,0,0,0,1,0,0,1,0,0,20,81.2,2,1,09100000016,99,solar lamp,Comments-000000000056,TA_000000000056,2026-06-10T12:40:00Z,2026-06-10T13:07:00Z
uuid:000000000057,HH057,Ana,West,2026-06-08,2,26,1,7,3,0,1,1,1,1,1,1,0,1,1,80,23.6,1,1,09100000017,1,,Comments-000000000057,TA_000000000057,2026-06-08T12:45:00Z,2026-06-08T13:11:00Z
uuid:000000000058,HH058,Ben,West,2026-06-11,2,22,0,1,3,0,0,1,1,1,1,0,1,1,0,60,37,2,1,09100000018,1,,Comments-000000000058,TA_000000000058,2026-06-11T12:50:00Z,2026-06-11T13:12:00Z
uuid:000000000059,HH059,Ben,West,2026-06-05,2,22,0,7,4,1,1,1,0,0,0,0,0,1,0,40,56,2,1,09100000019,1,,Comments-000000000059,TA_000000000059,2026-06-05T12:55:00Z,2026-06-05T13:17:00Z
uuid:000000000060,HH060,Ana,West,2026-06-03,1,25,1,5,4,1,0,1,0,1,1,0,1,0,0,50,49.7,1,1,09100000000,1,,Comments-000000000060,TA_000000000060,2026-06-03T13:00:00Z,2026-06-03T13:25:00Z
